-6.55 -18.93 -64.98 3.75
-5.73 -14.89 -63.37 3.4
-4.42 -13.66 -58.95 3.05
-1.96 -10.07 -52.5 2.92
-1.03 -9.4 -48.62 2.93
3.4 -4.02 -44.76 3.11
6.22 -1.04 -42.45 3.26
10.24 1.02 -39.32 6.92
12.53 4.23 -37.23 5.7
14.39 7.87 -35.19 4.49
16.83 13.15 -32.47 3.47
17.49 16.08 -28.63 2.1
20.87 17.98 -26.05 1.41
23.87 20.17 -24.49 0.72
27.66 23.07 -21.54 0.5
31.45 23.86 -16.67 0.27
33.37 21.79 -13.03 8.15

-21.38 3.69 -79.74 5.47
-17.49 8.01 -80.83 6.94
-15.67 11.79 -81.16 7.34
-13.05 17.38 -81.52 7.73
-10.93 20.48 -80.13 8.12
-8.84 24.11 -79.18 8.52
-3.59 27.34 -76.48 7.76
-0.66 27.31 -73.7 7.15
2.27 27.27 -70.92 6.53
4.23 26.37 -65.4 5.3
3.77 24.13 -60.43 4.44
2.9 22.47 -56.52 3.58
7.82 22.5 -51.07 5.2
11.52 24.99 -44.61 4.32
13.86 29.39 -42.83 5.01
16.21 33.86 -41.11 5.71
15.83 36.34 -35.47 5.15
16.5 35.59 -31.08 4.87
18.38 35.03 -26.84 4.59
21.31 37.64 -23.72 3.47
24.41 40.42 -19.63 4.16
27.38 42.98 -15.55 4.85
31.0 46.94 -15.34 5.31
36.85 49.47 -12.78 5.77
40.33 49.61 -7.37 4.45
46.42 50.9 -5.77 3.13

7.93 -33.73 -61.25 0.66
12.59 -30.67 -60.17 2.58
14.44 -28.07 -57.73 3.04
15.76 -24.81 -52.87 2.0
17.27 -21.71 -48.25 0.97
18.35 -17.69 -45.98 3.76
22.38 -13.86 -42.26 2.53
27.44 -10.83 -39.5 2.85
30.98 -7.78 -36.36 3.18
35.15 -3.67 -31.14 3.72
37.09 -0.59 -29.2 3.99
40.11 3.22 -27.94 4.97
41.9 7.48 -26.93 5.96
43.4 9.73 -23.73 5.46
45.78 10.82 -20.64 3.92
48.19 11.79 -17.41 2.39
52.93 13.91 -13.19 2.04
57.08 16.82 -12.83 1.94
60.35 20.17 -11.19 1.84

